A.R.E.S.,2.89
Airline Tycoon 2,6.2
APB Reloaded,66.94
APOX,0.4
ArcheAge,27.74
Arma 2 Operation Arrowhead Beta (Obsolete),6.57
Arx Fatalis,12.46
Assetto Corsa,15.74
BAD END,3.8
Battle for Graxia,1.27
Battle of Empires  1914-1918,24.4
Bionic Commando,1.2
Blackwell Convergence,0.3
Bloodline Champions,12.1
Call of Duty Modern Warfare 3 - Multiplayer,105.12
Carpe Diem,0.27
City of Steam Arkadia,1.16
Coin Crypt,3.2
Crusaders of the Lost Idols,88.41
Deadpool,10.08
Dear Esther,1.04
Devils Share,0.7
Diamond Dan,0.1
DiRT Showdown,5.42
Dragon Age Origins,60.86
Dynomite! Deluxe,1.9
Europa Universalis IV,195.18
F.E.A.R. Online,2.88
FINAL FANTASY XIII-2,12.2
Floating Point,0.55
FootLOL Epic Fail League,2.53
FRACT OSC,0.5
Fractured Space,2.52
Gauntlet,9.84
Ghost Master,5.33
Goat Simulator,7.1
Gotham City Impostors,6.06
Guacamelee! Gold Edition,5.96
Guild Wars Game of the Year,15.65
Gunman Clive,1.07
Hamilton's Great Adventure,2.25
Hardland,1.7
Impire,16.3
Infested Planet,8.63
Jamestown,1.19
Jazzpunk,1.98
Legend of Fae,0.3
Lego Star Wars 3 The Clone Wars,7.0
Lost Lands A Hidden Object Adventure,0.4
Lumino City,7.4
Machinarium,4.32
Magicka 2,3.93
MapleStory,30.66
MASSIVE CHALICE,8.68
Max and the Magic Marker,1.2
McPixel,2.72
METAL GEAR SOLID V GROUND ZEROES,7.23
Microsoft Flight,1.3
Monster Loves You!,3.8
Mortal Kombat Komplete Edition,20.37
Mountain,25.68
Nancy Drew Shadow at the Water's Edge,12.3
Nether,7.69
Nexuiz,0.5
Nimble Quest,2.15
Nuclear Dawn,8.46
Prey,3.92
Probably Archery,0.3
Qvadriga,22.0
Ricochet,1.01
RPG Tycoon,2.1
Rust,73.79
Sam & Max 202 Moai Better Blues,8.1
Shadow Man,0.3
Showtime!,2.8
Sid Meier's Ace Patrol,11.0
Sid Meier's Civilization V,180.18
Sid Meier's Pirates!,7.06
Space Pirates and Zombies,30.81
Space Warp,0.1
Spelunky,11.14
Star Wars Jedi Knight Jedi Academy,11.64
Street Fighter IV,8.54
Take On Helicopters,7.51
Tesla Effect,36.0
The Elder Scrolls III Morrowind,19.27
The Incredible Adventures of Van Helsing II,11.11
The Jackbox Party Pack 2,14.3
The Novelist,1.48
Tomb Raider III Adventures of Lara Croft,0.5
Total War Battles SHOGUN,3.6
Two Worlds Epic Edition,7.12
Uncharted Waters Online,181.0
Unium,0.8
Unmechanical,1.85
Weapons Genius,1.25
Wickland,1.27
X-Blades,2.66
YOU DON'T KNOW JACK Vol. 1 XL,0.65
Zombie Army Trilogy,4.4